timestamp,congestion_level,weather_conditions,road_type,vehicle_type,temperature,population_density
8/1/2022 0:00,0.8433964479190049,Rainy,City Street,Car,26.375611595073117,3459.059905306951
8/1/2022 0:29,0.8580386463036784,Rainy,Highway,Bus,23.277057430839015,2472.346181494276
8/1/2022 0:58,0.5645242285966868,Rainy,Highway,Bicycle,33.67193321171512,9963.200424868548
8/1/2022 1:00,0.60,Cloudy,Highway,Car,17.250464999339542,9890.142817954244
8/1/2022 1:18,0.28480206512719797,Clear,Highway,Bicycle,27.079890591474147,3806.3392391558973
8/1/2022 1:36,0.7639465224671041,Clear,Highway,Car,31.246556584669587,3982.4576878031053
8/1/2022 1:54,0.8839322146425737,Cloudy,Highway,Bicycle,27.93,4493.222862459099
8/1/2022 2:00,0.3884455363407513,Clear,Residential,Bus,30.462857083257546,1916.377696814153
8/1/2022 2:28,0.8669204155465127,Cloudy,City Street,Bus,21.956279565585106,9986.33
8/1/2022 2:56,0.3878144739335142,Rainy,Residential,Bicycle,21.421145116045736,1797.0506698952315
8/1/2022 3:00,0.77,Cloudy,City Street,Car,29.786141172888218,5141.137276946506
8/1/2022 3:28,0.8929618336583472,Clear,Highway,Car,16.66928519413769,2758.860816642074
8/1/2022 3:56,0.31404200036770097,Clear,Highway,Bicycle,24.291533142201207,7936.059758987827
8/1/2022 4:00,0.34153769621111385,Rainy,Residential,Bus,33.30594109984444,2652.1564848038347
8/1/2022 4:12,0.3753707297144703,Rainy,City Street,Bus,15.158685710103958,757.66
8/1/2022 4:24,0.36236748036380195,Rainy,Highway,Car,33.638385141015235,8444.362284880244
8/1/2022 4:36,0.17829587682753917,Cloudy,City Street,Car,25.46,7599.850889854846
8/1/2022 4:48,0.8894926748166413,Cloudy,Highway,Bicycle,27.276232682637453,5549.804708586428
8/1/2022 5:00,0.14325649235531712,Cloudy,Highway,Car,15.730543636569854,4208.908182956915
8/1/2022 5:16,0.12084942692226025,Clear,City Street,Bicycle,25.20,3040.4821606438895
8/1/2022 5:32,0.7077599207564241,Cloudy,City Street,Bus,18.06176199064479,864.4912934899578
8/1/2022 5:48,0.2830899316988405,Clear,Highway,Bus,18.033969335738117,5624.932309523195
8/1/2022 6:00,0.81,Rainy,Residential,Bicycle,28.11673667443197,3998.24
8/1/2022 6:28,0.6680140248245157,Rainy,Residential,Bus,34.403138422337726,5145.141645965226
8/1/2022 6:56,0.7335056600267335,Cloudy,Highway,Bus,24.70,1104.4034543584416
8/1/2022 7:00,0.21300041180950952,Cloudy,Highway,Car,33.80141792166232,929.03
8/1/2022 7:22,0.4967988791295702,Rainy,City Street,Car,16.578368866382075,1736.9808082202858
8/1/2022 7:44,0.66,Clear,Residential,Bicycle,25.122690391489023,941.6141153593941
8/1/2022 8:00,0.6593159336199265,Rainy,Residential,Car,16.36614660520613,1763.6289695656076
8/1/2022 8:20,0.5307008146040125,Rainy,Residential,Bus,26.340029042537495,2304.7012964605474
8/1/2022 8:40,0.1063248384387209,Clear,Highway,Bicycle,27.173127133289064,3768.264548857083
8/1/2022 9:00,0.10105384148311325,Cloudy,Residential,Car,30.805518852207896,4375.050253954004
8/1/2022 9:11,0.4656378432670437,Rainy,Highway,Car,29.581205190846987,5409.449816637658
8/1/2022 9:22,0.5165360157995696,Rainy,Residential,Bus,28.718307359103854,6001.2552710035225
8/1/2022 9:33,0.8484319818931428,Cloudy,Residential,Bus,27.217680261737655,3792.695832651788
8/1/2022 9:44,0.8418631237686415,Clear,City Street,Car,34.70877693976192,9808.25
